count,sessLength
1474,1
1053,2
951,3
1376,4
78,5
145,6
21,7
92,8
18,9
49,10
15,11
65,12
20,13
45,14
10,15
44,16
8,17
28,18
7,19
27,20
6,21
19,22
6,23
16,24
1,25
8,26
11,28
1,29
4,30
6,32
9,34
4,36
4,38
7,40
3,42
2,44
4,46
3,48
